3
5000 764 1146
0.008573539999999999 0.00451126 -0.009505059999999999 
0.00307681 -0.007 0.0332948 
0.00664183 0.00553421 0.00672042 
-0.0018255 -0.011 0.009587109999999999 
-0.00100088 0.00220928 0.0201731 
-0.00100087 -0.0039539 0.0199308 
0.0177883 0.0075 -0.00228584 
0.0161304 -0.007 -0.00391227 
0.0175547 -0.0075 -0.00258938 
0.00399949 -0.000464991 0.0117589 
-0.0048401 -0.011 0.0200203 
-0.00100075 -0.00431403 0.0172905 
0.0170041 -0.007 -0.00873149 
-0.00301509 0.000284554 0.00699987 
-0.00709921 -0.00434319 0.0439997 
-0.00780124 0.00684051 0.0285463 
0.000696897 0.0075 0.00472007 
0.00647505 -0.007 -0.00208879 
-0.00780128 0.0108409 0.0295389 
0.0211517 -0.007 -0.00204203 
-0.00100063 -0.00219694 0.0144539 
-0.00780102 0.00776134 0.0234065 
0.00485279 -0.0071025 -0.00113413 
-0.00100128 -0.0102371 0.0295097 
0.00260513  0.007 0.0342063 
-0.00100115 -0.00568822 0.0264896 
0.00599896 0.00318166 0.0238512 
0.0223216 0.00279951 -0.0105475 
-0.00100184 -0.00519597 0.0423371 
0.00410068 -0.000948068 0.0104024 
-0.00100075 -0.00448008 0.0171798 
0.00860961 -0.007 0.00121422 
-0.00100155 0.00681977 0.035578 
-0.00600021 -0.00569015 0.00491761 
-0.00403436 -0.00724022 0.0029224 
-0.000824668  0.007 0.0187395 
-0.00100115 -0.007787 0.0264073 
-0.00100107 0.00102705 0.0246493 
0.0050108 0.00305938 0.0305917 
-0.00780112 0.00849517 0.0258356 
0.0117474 -0.0038198 -0.0106601 
-0.00474687 -0.011 0.00889444 
0.00224046 0.00223222 0.00198603 
-0.00201836  0.011 0.00938627 
-0.00100138 -0.0109961 0.0317991 
0.00105167 0.00130569 0.0222358 
-0.00100059 0.00290224 0.0135045 
-0.00780132 -0.000932325 0.0302835 
-0.00780095 -0.0100587 0.0217659 
0.00181779  0.007 -0.00656294 
-0.00100041 -0.00269512 0.00953061 
0.0238684 -0.00247072 -0.00613753 
0.0208639 0.000482228 -0.00608535 
0.0157076 0.0075 -0.00815075 
-0.00100091 -0.00631225 0.0210679 
-0.00334767  0.011 0.022336 
-0.00100141 -0.00256255 0.0325 
-0.00780169 -0.00640003 0.0389021 
0.00602041 0.000607638 0.009531009999999999 
0.00131085 0.0040007 -0.00686201 
0.005999 0.00157534 0.0229268 
0.000413338  0.007 -0.00561437 
-0.00235869 0.00173566 0.0439999 
0.00599939 -0.00581735 0.0139261 
0.00580605 -0.007 0.023617 
-0.00105313 -0.008863330000000001 0.00699995 
-0.00556922 -0.011 0.0128159 
0.00403472  0.007 0.021859 
0.0103251 -0.00223402 -0.0101425 
-0.00780127 0.00291744 0.0292393 
-0.00100052 -0.00564333 0.0119289 
0.0069486 0.00684773 -0.00891371 
0.00593129  0.007 -0.00197933 
0.0194884 -0.00407813 -0.00905188 
-0.00100138 -0.00276258 0.0317342 
-0.00100034 0.00223259 0.007936540000000001 
0.0129904 -0.00584168 0.0016575 
0.0020784 -0.00175702 0.0021481 
-0.00438423 0.00673485 0.00699981 
-0.00780064 0.00916282 0.0146244 
-0.00100152 -0.00423948 0.0350634 
0.0194031 0.00657301 -0.000676218 
-0.00100165 -0.00131547 0.0378939 
0.0149782 0.000525132 -0.0118358 
0.0116862  0.007 -0.00494161 
-0.00100179 -0.00775693 0.0412716 
0.0201532 -0.00435866 -0.0120598 
